date,area_name,area_code,cases,cases_correction,deaths,deaths_correction
3/2/20,Georgia,13,2,2,0,0
3/3/20,Georgia,13,2,0,0,0
3/4/20,Georgia,13,2,0,0,0
3/5/20,Georgia,13,2,0,0,0
3/6/20,Georgia,13,3,1,0,0
3/7/20,Georgia,13,7,4,0,0
3/8/20,Georgia,13,11,4,0,0
3/9/20,Georgia,13,17,6,0,0
3/10/20,Georgia,13,22,5,0,0
3/11/20,Georgia,13,31,9,0,0
3/12/20,Georgia,13,31,0,1,1
3/13/20,Georgia,13,41,10,1,0
3/14/20,Georgia,13,65,24,1,0
3/15/20,Georgia,13,97,32,1,0
3/16/20,Georgia,13,118,21,1,0
3/17/20,Georgia,13,142,24,1,0
3/18/20,Georgia,13,193,51,3,2
3/19/20,Georgia,13,282,89,10,7
3/20/20,Georgia,13,482,200,14,4
3/21/20,Georgia,13,552,70,20,6
3/22/20,Georgia,13,620,68,25,5
3/23/20,Georgia,13,800,180,25,0
3/24/20,Georgia,13,1097,297,38,13
3/25/20,Georgia,13,1387,290,47,9
3/26/20,Georgia,13,1643,256,56,9
3/27/20,Georgia,13,2198,555,64,8
3/28/20,Georgia,13,2447,249,79,15
3/29/20,Georgia,13,2683,236,83,4
3/30/20,Georgia,13,3032,349,102,19
3/31/20,Georgia,13,4117,1085,125,23
4/1/20,Georgia,13,4748,631,154,29
4/2/20,Georgia,13,5444,696,176,22
4/3/20,Georgia,13,5967,523,198,22
4/4/20,Georgia,13,6383,416,208,10
4/5/20,Georgia,13,6742,359,219,11
4/6/20,Georgia,13,7558,816,294,75
4/7/20,Georgia,13,9156,1598,348,54
4/8/20,Georgia,13,10204,1048,370,22
4/9/20,Georgia,13,10885,681,412,42
4/10/20,Georgia,13,11859,974,425,13
4/11/20,Georgia,13,12103,244,432,7
4/12/20,Georgia,13,12103,0,438,6
4/13/20,Georgia,13,13125,1022,479,41
4/14/20,Georgia,13,13913,788,517,38
4/15/20,Georgia,13,14583,670,569,52
4/16/20,Georgia,13,15644,1061,611,42
4/17/20,Georgia,13,16658,1014,661,50
4/18/20,Georgia,13,17014,356,670,9
4/19/20,Georgia,13,17619,605,682,12
4/20/20,Georgia,13,18447,828,767,85
4/21/20,Georgia,13,19189,742,810,43
4/22/20,Georgia,13,20099,910,837,27
4/23/20,Georgia,13,20905,806,871,34
4/24/20,Georgia,13,21575,670,889,18
4/25/20,Georgia,13,22225,650,897,8
4/26/20,Georgia,13,22459,234,907,10
4/27/20,Georgia,13,23229,770,981,74
4/28/20,Georgia,13,23607,378,1022,41
4/29/20,Georgia,13,24300,693,1086,64
4/30/20,Georgia,13,25431,1131,1121,35
5/1/20,Georgia,13,26436,1005,1153,32
5/2/20,Georgia,13,27268,832,1161,8
5/3/20,Georgia,13,27618,350,1168,7
5/4/20,Georgia,13,28350,732,1228,60
5/5/20,Georgia,13,28876,526,1277,49
5/6/20,Georgia,13,29724,848,1309,32
3/30/20,Appling County,13001,1,1,0,0
3/31/20,Appling County,13001,1,0,0,0
4/1/20,Appling County,13001,1,0,0,0
4/2/20,Appling County,13001,3,2,0,0
4/3/20,Appling County,13001,5,2,0,0
4/4/20,Appling County,13001,5,0,0,0
4/5/20,Appling County,13001,5,0,0,0
4/6/20,Appling County,13001,6,1,0,0
4/7/20,Appling County,13001,6,0,0,0
4/8/20,Appling County,13001,7,1,0,0
4/9/20,Appling County,13001,7,0,0,0
4/10/20,Appling County,13001,9,2,0,0
4/11/20,Appling County,13001,9,0,0,0
