date,dateTwo,area_name,area_code,daily_cases,avg_cases_7,daily_deaths,avg_deaths_7
3/2/20,2-Mar,Georgia,13,2,,0,
3/3/20,3-Mar,Georgia,13,0,,0,
3/4/20,4-Mar,Georgia,13,0,,0,
3/5/20,5-Mar,Georgia,13,0,,0,
3/6/20,6-Mar,Georgia,13,1,,0,
3/7/20,7-Mar,Georgia,13,4,,0,
3/8/20,8-Mar,Georgia,13,4,1.166666667,0,0
3/9/20,9-Mar,Georgia,13,6,1.571428571,0,0
3/10/20,10-Mar,Georgia,13,5,2.142857143,0,0
3/11/20,11-Mar,Georgia,13,9,2.857142857,0,0
3/12/20,12-Mar,Georgia,13,0,4.142857143,1,0
3/13/20,13-Mar,Georgia,13,10,4.142857143,0,0.142857143
3/14/20,14-Mar,Georgia,13,24,5.428571429,0,0.142857143
3/15/20,15-Mar,Georgia,13,32,8.285714286,0,0.142857143
3/16/20,16-Mar,Georgia,13,21,12.28571429,0,0.142857143
3/17/20,17-Mar,Georgia,13,24,14.42857143,0,0.142857143
3/18/20,18-Mar,Georgia,13,51,17.14285714,2,0.142857143
3/19/20,19-Mar,Georgia,13,89,23.14285714,7,0.428571429
3/20/20,20-Mar,Georgia,13,200,35.85714286,4,1.285714286
3/21/20,21-Mar,Georgia,13,70,63,6,1.857142857
3/22/20,22-Mar,Georgia,13,68,69.57142857,5,2.714285714
3/23/20,23-Mar,Georgia,13,180,74.71428571,0,3.428571429
3/24/20,24-Mar,Georgia,13,297,97.42857143,13,3.428571429
3/25/20,25-Mar,Georgia,13,290,136.4285714,9,5.285714286
3/26/20,26-Mar,Georgia,13,256,170.5714286,9,6.285714286
3/27/20,27-Mar,Georgia,13,555,194.4285714,8,6.571428571
3/28/20,28-Mar,Georgia,13,249,245.1428571,15,7.142857143
3/29/20,29-Mar,Georgia,13,236,270.7142857,4,8.428571429
3/30/20,30-Mar,Georgia,13,349,294.7142857,19,8.285714286
3/31/20,31-Mar,Georgia,13,1085,318.8571429,23,11
4/1/20,1-Apr,Georgia,13,631,431.4285714,29,12.42857143
4/2/20,2-Apr,Georgia,13,696,480.1428571,22,15.28571429
4/3/20,3-Apr,Georgia,13,523,543,22,17.14285714
4/4/20,4-Apr,Georgia,13,416,538.4285714,10,19.14285714
4/5/20,5-Apr,Georgia,13,359,562.2857143,11,18.42857143
4/6/20,6-Apr,Georgia,13,816,579.8571429,75,19.42857143
4/7/20,7-Apr,Georgia,13,1598,646.5714286,54,27.42857143
4/8/20,8-Apr,Georgia,13,1048,719.8571429,22,31.85714286
4/9/20,9-Apr,Georgia,13,681,779.4285714,42,30.85714286
4/10/20,10-Apr,Georgia,13,974,777.2857143,13,33.71428571
4/11/20,11-Apr,Georgia,13,244,841.7142857,7,32.42857143
4/12/20,12-Apr,Georgia,13,0,817.1428571,6,32
4/13/20,13-Apr,Georgia,13,1022,765.8571429,41,31.28571429
4/14/20,14-Apr,Georgia,13,788,795.2857143,38,26.42857143
4/15/20,15-Apr,Georgia,13,670,679.5714286,52,24.14285714
4/16/20,16-Apr,Georgia,13,1061,625.5714286,42,28.42857143
4/17/20,17-Apr,Georgia,13,1014,679.8571429,50,28.42857143
4/18/20,18-Apr,Georgia,13,356,685.5714286,9,33.71428571
4/19/20,19-Apr,Georgia,13,605,701.5714286,12,34
4/20/20,20-Apr,Georgia,13,828,788,85,34.85714286
4/21/20,21-Apr,Georgia,13,742,760.2857143,43,41.14285714
4/22/20,22-Apr,Georgia,13,910,753.7142857,27,41.85714286
4/23/20,23-Apr,Georgia,13,806,788,34,38.28571429
4/24/20,24-Apr,Georgia,13,670,751.5714286,18,37.14285714
4/25/20,25-Apr,Georgia,13,650,702.4285714,8,32.57142857
4/26/20,26-Apr,Georgia,13,234,744.4285714,10,32.42857143
4/27/20,27-Apr,Georgia,13,770,691.4285714,74,32.14285714
4/28/20,28-Apr,Georgia,13,378,683.1428571,41,30.57142857
4/29/20,29-Apr,Georgia,13,693,631.1428571,64,30.28571429
4/30/20,30-Apr,Georgia,13,1131,600.1428571,35,35.57142857
5/1/20,1-May,Georgia,13,1005,646.5714286,32,35.71428571
