Area,Date,date,Claims
Georgia,03/07/2020,Mar 07,4401
Georgia,03/14/2020,Mar 14,5248
Georgia,03/21/2020,Mar 21,11707
Georgia,03/28/2020,Mar 28,130544
Georgia,04/04/2020,Apr 04,377105
Georgia,04/11/2020,Apr 11,294035
Georgia,04/18/2020,Apr 18,243320
Georgia,04/25/2020,Apr 25,262615
Georgia,05/02/2020,May 02,224794
Georgia,05/09/2020,May 09,240092
Georgia,05/16/2020,May 16,175327
Appling County,03/07/2020,Mar 07,5
Appling County,03/14/2020,Mar 14,6
Appling County,03/21/2020,Mar 21,5
Appling County,03/28/2020,Mar 28,143
Appling County,04/04/2020,Apr 04,322
Appling County,04/11/2020,Apr 11,300
Appling County,04/18/2020,Apr 18,274
Appling County,04/25/2020,Apr 25,318
Appling County,05/02/2020,May 02,279
Appling County,05/09/2020,May 09,229
Appling County,05/16/2020,May 16,191
Atkinson County,03/07/2020,Mar 07,25
Atkinson County,03/14/2020,Mar 14,20
Atkinson County,03/21/2020,Mar 21,16
Atkinson County,03/28/2020,Mar 28,285
Atkinson County,04/04/2020,Apr 04,964
Atkinson County,04/11/2020,Apr 11,857
Atkinson County,04/18/2020,Apr 18,829
Atkinson County,04/25/2020,Apr 25,755
Atkinson County,05/02/2020,May 02,694
Atkinson County,05/09/2020,May 09,635
Atkinson County,05/16/2020,May 16,466
Bacon County,03/07/2020,Mar 07,41
Bacon County,03/14/2020,Mar 14,5
Bacon County,03/21/2020,Mar 21,7
Bacon County,03/28/2020,Mar 28,64
Bacon County,04/04/2020,Apr 04,216
Bacon County,04/11/2020,Apr 11,144
Bacon County,04/18/2020,Apr 18,218
Bacon County,04/25/2020,Apr 25,187
Bacon County,05/02/2020,May 02,176
Bacon County,05/09/2020,May 09,166
Bacon County,05/16/2020,May 16,170
Baker County,03/07/2020,Mar 07,2
Baker County,03/14/2020,Mar 14,6
Baker County,03/21/2020,Mar 21,2
Baker County,03/28/2020,Mar 28,21
Baker County,04/04/2020,Apr 04,73
Baker County,04/11/2020,Apr 11,63
Baker County,04/18/2020,Apr 18,54
Baker County,04/25/2020,Apr 25,53
Baker County,05/02/2020,May 02,67
Baker County,05/09/2020,May 09,47
Baker County,05/16/2020,May 16,44
Baldwin County,03/07/2020,Mar 07,17
Baldwin County,03/14/2020,Mar 14,17
Baldwin County,03/21/2020,Mar 21,12
Baldwin County,03/28/2020,Mar 28,472
Baldwin County,04/04/2020,Apr 04,1094
Baldwin County,04/11/2020,Apr 11,925
Baldwin County,04/18/2020,Apr 18,754
Baldwin County,04/25/2020,Apr 25,827
Baldwin County,05/02/2020,May 02,911
Baldwin County,05/09/2020,May 09,664
Baldwin County,05/16/2020,May 16,572
Banks County,03/07/2020,Mar 07,8
Banks County,03/14/2020,Mar 14,40
Banks County,03/21/2020,Mar 21,17
Banks County,03/28/2020,Mar 28,146
Banks County,04/04/2020,Apr 04,497
Banks County,04/11/2020,Apr 11,486
Banks County,04/18/2020,Apr 18,590
Banks County,04/25/2020,Apr 25,498
Banks County,05/02/2020,May 02,401
Banks County,05/09/2020,May 09,476
Banks County,05/16/2020,May 16,341
Barrow County,03/07/2020,Mar 07,27
Barrow County,03/14/2020,Mar 14,41
Barrow County,03/21/2020,Mar 21,62
Barrow County,03/28/2020,Mar 28,940
Barrow County,04/04/2020,Apr 04,2787
Barrow County,04/11/2020,Apr 11,2709
Barrow County,04/18/2020,Apr 18,2245
Barrow County,04/25/2020,Apr 25,2110
Barrow County,05/02/2020,May 02,1572
Barrow County,05/09/2020,May 09,1780
Barrow County,05/16/2020,May 16,1390
Bartow County,03/07/2020,Mar 07,45
Bartow County,03/14/2020,Mar 14,67
Bartow County,03/21/2020,Mar 21,154
Bartow County,03/28/2020,Mar 28,1443
Bartow County,04/04/2020,Apr 04,4222
Bartow County,04/11/2020,Apr 11,3521
Bartow County,04/18/2020,Apr 18,3995
Bartow County,04/25/2020,Apr 25,3277
Bartow County,05/02/2020,May 02,2562
Bartow County,05/09/2020,May 09,2991
Bartow County,05/16/2020,May 16,1685
Ben Hill County,03/07/2020,Mar 07,10
Ben Hill County,03/14/2020,Mar 14,8
Ben Hill County,03/21/2020,Mar 21,44
Ben Hill County,03/28/2020,Mar 28,129
Ben Hill County,04/04/2020,Apr 04,435
Ben Hill County,04/11/2020,Apr 11,1008
Ben Hill County,04/18/2020,Apr 18,997
Ben Hill County,04/25/2020,Apr 25,1015
Ben Hill County,05/02/2020,May 02,489
Ben Hill County,05/09/2020,May 09,559
Ben Hill County,05/16/2020,May 16,410
Berrien County,03/07/2020,Mar 07,25
Berrien County,03/14/2020,Mar 14,13
Berrien County,03/21/2020,Mar 21,17
Berrien County,03/28/2020,Mar 28,102
Berrien County,04/04/2020,Apr 04,414
Berrien County,04/11/2020,Apr 11,761
Berrien County,04/18/2020,Apr 18,325
Berrien County,04/25/2020,Apr 25,332
Berrien County,05/02/2020,May 02,256
Berrien County,05/09/2020,May 09,358
Berrien County,05/16/2020,May 16,230
Bibb County,03/07/2020,Mar 07,62
Bibb County,03/14/2020,Mar 14,77
Bibb County,03/21/2020,Mar 21,134
Bibb County,03/28/2020,Mar 28,1797
Bibb County,04/04/2020,Apr 04,4711
Bibb County,04/11/2020,Apr 11,3910
Bibb County,04/18/2020,Apr 18,2859
Bibb County,04/25/2020,Apr 25,3487
Bibb County,05/02/2020,May 02,2730
Bibb County,05/09/2020,May 09,3166
Bibb County,05/16/2020,May 16,2371
Bleckley County,03/07/2020,Mar 07,5
Bleckley County,03/14/2020,Mar 14,16
Bleckley County,03/21/2020,Mar 21,12
Bleckley County,03/28/2020,Mar 28,47
Bleckley County,04/04/2020,Apr 04,232
Bleckley County,04/11/2020,Apr 11,165
Bleckley County,04/18/2020,Apr 18,130
Bleckley County,04/25/2020,Apr 25,127
Bleckley County,05/02/2020,May 02,111
Bleckley County,05/09/2020,May 09,127
Bleckley County,05/16/2020,May 16,113
Brantley County,03/07/2020,Mar 07,6
Brantley County,03/14/2020,Mar 14,8
Brantley County,03/21/2020,Mar 21,7
Brantley County,03/28/2020,Mar 28,82
Brantley County,04/04/2020,Apr 04,438
Brantley County,04/11/2020,Apr 11,339
Brantley County,04/18/2020,Apr 18,311
Brantley County,04/25/2020,Apr 25,315
Brantley County,05/02/2020,May 02,309
Brantley County,05/09/2020,May 09,291
Brantley County,05/16/2020,May 16,254
Brooks County,03/07/2020,Mar 07,5
Brooks County,03/14/2020,Mar 14,3
Brooks County,03/21/2020,Mar 21,9
Brooks County,03/28/2020,Mar 28,55
Brooks County,04/04/2020,Apr 04,246
Brooks County,04/11/2020,Apr 11,177
Brooks County,04/18/2020,Apr 18,203
Brooks County,04/25/2020,Apr 25,181
Brooks County,05/02/2020,May 02,227
Brooks County,05/09/2020,May 09,163
Brooks County,05/16/2020,May 16,186
Bryan County,03/07/2020,Mar 07,11
Bryan County,03/14/2020,Mar 14,28
Bryan County,03/21/2020,Mar 21,66
Bryan County,03/28/2020,Mar 28,351
Bryan County,04/04/2020,Apr 04,1644
Bryan County,04/11/2020,Apr 11,1271
Bryan County,04/18/2020,Apr 18,1116
Bryan County,04/25/2020,Apr 25,1001
Bryan County,05/02/2020,May 02,917
Bryan County,05/09/2020,May 09,821
Bryan County,05/16/2020,May 16,724
Bulloch County,03/07/2020,Mar 07,111
Bulloch County,03/14/2020,Mar 14,42
Bulloch County,03/21/2020,Mar 21,86
Bulloch County,03/28/2020,Mar 28,736
Bulloch County,04/04/2020,Apr 04,2633
Bulloch County,04/11/2020,Apr 11,2078
Bulloch County,04/18/2020,Apr 18,1675
Bulloch County,04/25/2020,Apr 25,1687
Bulloch County,05/02/2020,May 02,1759
Bulloch County,05/09/2020,May 09,1721
Bulloch County,05/16/2020,May 16,1472
Burke County,03/07/2020,Mar 07,26
Burke County,03/14/2020,Mar 14,14
Burke County,03/21/2020,Mar 21,10
Burke County,03/28/2020,Mar 28,85
Burke County,04/04/2020,Apr 04,438
Burke County,04/11/2020,Apr 11,419
Burke County,04/18/2020,Apr 18,376
Burke County,04/25/2020,Apr 25,353
Burke County,05/02/2020,May 02,339
Burke County,05/09/2020,May 09,264
Burke County,05/16/2020,May 16,219
Butts County,03/07/2020,Mar 07,11
Butts County,03/14/2020,Mar 14,14
