County,Agriculture,Construction,Education,Enterprise Management,Entertainment,Finance,Food Services,Health Care,Information,Manufacturing,Oil & Gas,Other,Public Admin,Real Estate,Retail,Technical Services,Transportation,Unclassified,Utilities,Waste Management,Wholesale Trade,GEOID,Total Claims,Other Claims
Appling County,17,263,47,1,122,4,693,400,40,401,1,44,18,33,310,50,179,397,1,192,98,13001,3311,19
Atkinson County,14,450,81,13,443,17,1898,1631,73,842,0,373,30,144,999,151,307,485,1,833,378,13003,9163,15
Bacon County,13,127,21,3,69,6,314,528,51,453,0,36,4,5,118,34,179,300,1,199,34,13005,2495,14
Baker County,5,40,36,0,10,1,96,86,14,122,0,7,9,10,59,17,29,99,0,29,15,13007,684,5
Baldwin County,5,377,291,23,81,40,3057,1523,88,633,21,202,510,79,1062,80,309,1086,0,463,110,13009,10040,26
Banks County,12,192,184,20,64,23,954,585,71,982,8,81,19,82,798,118,288,442,1,418,338,13011,5680,21
Barrow County,8,635,1157,143,422,125,4692,3476,392,1870,0,746,64,358,3396,440,751,2241,0,2287,1036,13013,24239,8
Bartow County,6,943,839,92,885,117,7106,3852,366,9102,21,857,219,184,3547,733,609,3538,2,2647,861,13015,36526,29
Ben Hill County,28,168,35,3,82,42,703,871,21,3327,0,35,24,38,447,61,721,583,0,1563,137,13017,8889,28
Berrien County,9,172,245,2,61,9,710,400,38,1260,0,75,20,9,247,53,81,543,0,236,265,13019,4435,9
Bibb County,22,635,1854,22,727,336,13132,5192,462,1980,17,672,224,412,6540,574,1055,7062,0,3583,742,13021,45243,39
Bleckley County,6,113,59,4,31,12,401,374,24,148,0,17,20,6,190,57,30,284,0,75,45,13023,1896,6
Brantley County,5,219,99,5,44,6,951,839,42,102,0,115,18,9,242,23,200,507,1,171,103,13025,3701,6
Brooks County,45,112,98,11,94,5,532,700,16,132,0,115,14,7,351,59,57,825,0,98,40,13027,3311,45
Bryan County,6,280,649,13,250,91,3108,1662,94,976,0,570,87,140,1265,213,380,1213,5,780,240,13029,12022,11
Bulloch County,9,312,1250,14,455,61,6036,2063,257,2480,0,699,1242,164,4033,517,531,1950,1,1174,210,13031,23458,10
Burke County,8,374,58,1,56,10,576,375,6,931,2,147,44,24,367,63,294,736,7,516,148,13033,4743,17
Butts County,0,328,228,15,90,21,1618,808,56,707,5,148,23,85,1159,97,504,724,0,462,159,13035,7237,5
Calhoun County,9,103,31,3,76,5,416,350,97,195,0,65,6,21,218,163,415,198,0,134,72,13037,2577,9
Camden County,6,150,570,15,170,34,3842,766,100,215,3,221,95,90,928,132,122,1422,1,343,152,13039,9377,10
Candler County,9,101,56,3,52,6,489,291,5,286,7,38,61,6,413,62,76,218,0,99,49,13043,2327,16
Carroll County,10,1142,558,100,664,107,6651,4841,306,4996,6,966,391,408,2679,508,853,3918,9,3357,956,13045,33426,25
Catoosa County,0,166,111,11,194,59,1962,891,84,1742,0,161,36,39,1095,195,281,1693,1,435,230,13047,9386,1
Charlton County,3,91,25,1,26,14,261,473,26,190,0,37,17,6,199,24,88,193,1,114,22,13049,1811,4
Chatham County,3,1203,2332,396,3065,407,38430,13996,963,3552,1,4470,491,1177,13462,2111,3561,12005,7,9203,1429,13051,112264,11
Chattahoochee County,1,70,22,0,19,7,463,177,12,67,0,56,6,13,195,28,128,202,0,122,40,13053,1628,1
Chattooga County,10,250,50,1,41,48,646,765,31,5207,0,49,37,21,315,51,94,667,0,298,121,13055,8702,10
Cherokee County,51,1544,1180,346,3442,352,18360,9885,965,4015,35,3265,271,712,8910,1813,1195,7383,4,3887,1726,13057,69341,90
Clarke County,5,343,1211,206,884,78,12581,5189,688,2095,2,1104,751,704,4597,512,689,3166,0,2824,1640,13059,39269,7
Clay County,3,41,39,0,70,0,460,122,1,38,0,13,8,0,72,10,135,136,0,61,22,13061,1231,3
Clayton County,25,1596,1986,913,2577,576,27150,11338,1298,3307,5,3054,431,1653,12464,1889,8989,22155,15,16189,3687,13063,121297,45
Clinch County,10,145,125,108,489,55,727,430,45,1303,0,125,10,20,256,107,259,309,13,326,96,13065,4958,23
Cobb County,12,3418,3858,2126,12017,1344,59997,29239,4844,7661,19,9810,788,2754,28370,6475,6175,31675,31,22150,5394,13067,238157,62
Coffee County,42,432,373,5,616,29,930,1855,87,1308,0,118,45,16,725,90,91,996,3,591,397,13069,8749,45
Colquitt County,55,162,36,4,153,63,1688,2384,97,932,0,551,17,38,741,170,191,1078,1,305,119,13071,8785,56
Columbia County,9,817,766,50,855,90,8002,4209,378,1727,12,1618,174,289,3824,662,557,3323,9,1676,698,13073,29745,30
Cook County,9,63,229,4,230,25,1152,388,27,347,0,62,16,32,319,86,164,692,1,172,183,13075,4201,10
Coweta County,2,808,1266,112,1545,138,9680,5460,620,4294,0,1935,181,531,5142,678,4522,4306,8,3883,1688,13077,46799,10
Crawford County,5,104,79,2,127,19,440,293,25,263,0,37,9,18,298,37,135,410,0,157,30,13079,2488,5
Crisp County,14,164,278,22,250,78,2373,867,97,1397,3,143,53,113,761,105,325,1092,0,741,304,13081,9180,17
Dade County,0,59,156,7,119,6,620,143,22,759,0,43,7,4,190,19,158,318,1,138,34,13083,2803,1
Dawson County,8,179,138,28,215,29,1723,1398,56,419,6,242,48,73,1486,143,85,829,1,475,214,13085,7795,15
DeKalb County,90,2826,7684,2307,11276,1404,65964,27853,5731,8092,15,11019,951,3449,27486,6101,10920,47370,15,25722,5506,13089,271781,120
Decatur County,42,74,330,6,285,33,804,538,40,599,2,94,23,99,904,64,184,1311,2,301,54,13087,5789,46
Dodge County,9,107,468,8,85,10,346,518,44,352,0,37,22,21,333,18,158,518,1,181,41,13091,3277,10
Dooly County,7,38,160,0,23,23,449,181,2,213,6,46,14,3,155,17,91,309,1,176,37,13093,1951,14
Dougherty County,27,345,441,29,989,122,7520,2491,289,1240,0,812,196,312,3924,433,667,4783,4,1836,320,13095,26780,31
Douglas County,2,1211,1932,261,3219,286,11417,6413,470,2072,4,1331,201,770,6204,945,2672,6224,7,4576,1931,13097,52148,13
Early County,33,193,51,3,33,2,239,163,7,83,0,19,12,10,245,33,182,387,0,101,29,13099,1825,33
Echols County,5,37,37,2,82,6,161,71,8,52,0,8,3,4,82,7,74,118,1,31,18,13101,807,6
Effingham County,4,473,366,29,287,53,3015,2044,171,1214,1,1057,131,202,1914,292,791,1425,5,1096,282,13103,14852,10
Elbert County,10,87,41,0,10,17,482,954,22,972,5,74,63,13,282,100,132,427,0,504,219,13105,4414,15
Emanuel County,34,175,81,36,15,22,368,554,8,1075,2,45,36,36,642,43,65,804,1,358,130,13107,4530,37
Evans County,7,38,148,1,33,2,301,299,10,238,0,31,14,17,285,21,124,217,0,170,36,13109,1992,7
Fannin County,138,158,252,0,50,25,1617,813,25,674,17,161,101,34,498,123,222,835,0,293,64,13111,6100,155
Fayette County,1,542,1914,140,1996,237,10096,5115,817,2358,4,1454,496,455,4467,784,3863,4482,5,3082,882,13113,43190,10
Floyd County,10,649,146,30,270,61,6067,4908,117,6746,9,539,1052,129,2362,436,263,2919,1,2507,698,13115,29919,20
Forsyth County,25,782,6947,231,2550,313,11104,7293,1268,1656,15,2193,380,445,6794,1688,605,6070,1,2741,1607,13117,54708,41
Franklin County,6,169,86,6,121,10,1838,1172,36,1093,0,108,17,46,579,159,518,723,3,333,183,13119,7206,9
Fulton County,52,3903,11847,4145,20488,2171,114006,37096,23229,8655,27,16401,1801,5762,40012,10390,18007,75885,21,42212,9462,13121,445572,100
Gilmer County,17,199,442,5,55,10,1894,752,152,893,32,272,16,25,509,114,113,834,2,264,78,13123,6678,51
Glascock County,1,20,96,3,17,4,94,72,7,53,4,1,0,4,54,8,91,100,0,84,13,13125,726,5
Glynn County,5,324,1614,12,583,63,11372,1797,313,437,0,718,219,201,2692,326,536,3908,0,1616,1287,13127,28023,5
Gordon County,12,388,153,10,134,93,2283,1440,39,8549,16,211,49,73,1804,470,293,1655,2,1253,845,13129,19772,30
Grady County,65,30,61,4,9,14,337,344,17,1166,2,53,33,24,417,85,47,595,2,154,38,13131,3497,69
Greene County,15,547,215,16,70,6,1216,473,66,257,0,103,16,47,249,53,147,457,0,271,116,13133,4340,15
Gwinnett County,41,4262,5295,1845,10222,1995,71994,37630,5744,11082,18,11796,573,3011,41725,7991,6585,47483,7,24437,8708,13135,302444,66
Habersham County,13,152,159,17,105,45,1870,1262,116,1725,0,210,194,47,781,124,97,762,1,626,182,13137,8488,14
Hall County,39,805,2497,337,760,234,10940,7227,242,7076,4,1686,96,610,6007,781,635,5259,6,4178,1627,13139,51046,49
Hancock County,8,69,28,3,4,1,229,201,13,237,1,26,40,15,131,14,129,159,0,247,62,13141,1617,9
Haralson County,9,287,104,16,65,18,1932,1119,33,1380,2,241,68,38,527,76,152,989,1,684,154,13143,7895,12
Harris County,3,211,429,10,451,34,2139,931,70,1104,0,365,233,77,587,141,288,798,1,629,181,13145,8682,4
Hart County,15,57,194,2,20,6,813,581,41,1080,0,180,15,8,283,96,239,584,0,204,61,13147,4479,15
Heard County,2,199,27,5,33,20,443,213,13,717,1,56,14,24,197,17,86,341,0,368,84,13149,2860,3
Henry County,9,1470,5199,325,2399,409,17395,10994,920,1784,2,2072,317,1143,11570,1429,7744,11646,12,8761,2310,13151,87910,23
Houston County,58,428,842,18,634,183,10279,5518,524,1841,32,867,704,345,4147,430,613,4195,1,1631,579,13153,33869,91
Irwin County,8,118,13,1,1,6,170,213,22,213,0,27,12,0,135,23,30,191,0,58,31,13155,1272,8
Jackson County,17,548,1398,66,308,66,3855,4081,196,1706,0,558,76,498,2701,348,589,1965,1,1312,1014,13157,21303,18
Jasper County,3,157,66,25,47,21,569,380,44,408,0,120,23,15,259,37,128,362,0,232,69,13159,2965,3
Jeff Davis County,20,104,48,30,15,17,380,566,26,510,0,16,22,6,163,24,149,280,0,93,57,13161,2526,20
Jefferson County,19,178,35,5,76,11,560,326,14,548,9,69,17,21,247,60,220,516,1,343,194,13163,3469,29
Jenkins County,0,55,19,0,17,4,273,135,0,408,1,28,15,1,175,23,43,159,1,96,21,13165,1474,2
Johnson County,8,99,18,18,1,6,146,191,11,281,25,29,12,3,121,21,97,148,0,118,31,13167,1384,33
Jones County,1,139,131,6,98,45,1066,826,50,235,3,105,37,40,587,64,98,539,0,266,123,13169,4459,4
Lamar County,2,120,99,7,28,16,866,481,31,643,1,98,19,13,438,64,164,476,0,404,137,13171,4107,3
Lanier County,2,43,130,1,51,2,194,257,12,171,0,25,8,1,92,45,17,272,0,53,18,13173,1394,2
Laurens County,8,286,180,5,153,46,2634,1836,125,1114,39,238,74,45,1240,125,428,1682,0,728,126,13175,11112,47
Lee County,26,212,459,23,422,79,2482,1570,234,986,2,367,73,101,1435,174,321,850,1,959,370,13177,11146,29
Liberty County,3,200,1187,9,199,70,3648,1770,146,459,1,807,123,153,1929,197,611,1962,1,1137,153,13179,14765,5
