geoid,statefp,name,unemployment,labor force,geometry,lon,lat
13235,13,Pulaski,112,4108,POINT (-83.475499 32.233345),-83.475499,32.233345
13281,13,Towns,150,3931,POINT (-83.741074 34.913691),-83.741074,34.913691
45087,45,Union,306,11862,POINT (-81.61730300000001 34.688357),-81.617303,34.688357
13033,13,Burke,364,9252,POINT (-81.999287 33.059179),-81.999287,33.059179
13005,13,Bacon,160,5083,POINT (-82.45936500000001 31.554564),-82.459365,31.554564
01095,01,Marshall,908,44354,POINT (-86.304867 34.369759),-86.304867,34.369759
45065,45,McCormick,78,3501,POINT (-82.30794299999999 33.901614),-82.307943,33.901614
13303,13,Washington,241,6989,POINT (-82.79357 32.967118),-82.79357,32.967118
47015,47,Cannon,184,6657,POINT (-86.057389 35.809907),-86.057389,35.809907
13177,13,Lee,382,14805,POINT (-84.143242 31.77933),-84.143242,31.77933
13021,13,Bibb,2074,68565,POINT (-83.704891 32.809042),-83.704891,32.809042
13119,13,Franklin,284,9917,POINT (-83.231599 34.375255),-83.231599,34.375255
01113,01,Russell,588,23934,POINT (-85.18415299999999 32.287252),-85.184153,32.287252
01123,01,Tallapoosa,464,17863,POINT (-85.79833000000001 32.866982),-85.79833,32.866982
13035,13,Butts,270,10790,POINT (-83.95435000000001 33.283094),-83.95435,33.283094
45071,45,Newberry,414,19137,POINT (-81.599357 34.28629),-81.599357,34.28629
13095,13,Dougherty,1431,37997,POINT (-84.217223 31.533285),-84.217223,31.533285
01115,01,St. Clair,893,40878,POINT (-86.310293 33.719021),-86.310293,33.719021
13153,13,Houston,1835,69794,POINT (-83.66879 32.458024),-83.66879,32.458024
13179,13,Liberty,810,25711,POINT (-81.49251099999999 31.825888),-81.492511,31.825888
12109,12,St. Johns,2930,130557,POINT (-81.43589900000001 29.900965),-81.435899,29.900965
13225,13,Peach,367,11775,POINT (-83.829369 32.569343),-83.829369,32.569343
13085,13,Dawson,256,12110,POINT (-84.16964 34.44244),-84.16964,34.44244
01017,01,Chambers,390,15877,POINT (-85.390727 32.9136),-85.390727,32.9136
45019,45,Charleston,3538,209821,POINT (-79.96512300000001 32.824878),-79.965123,32.824878
13181,13,Lincoln,111,3577,POINT (-82.45024100000001 33.792014),-82.450241,33.792014
01109,01,Pike,434,15362,POINT (-85.94082899999999 31.803963),-85.940829,31.803963
