Area,Date,Claims,FebLaborForce,CumClaims,PctFebLabor
Georgia,03/07/2020,4401,5187308.0,4401,0.1
Georgia,03/14/2020,5248,5187308.0,9649,0.2
Georgia,03/21/2020,11707,5187308.0,21356,0.4
Georgia,03/28/2020,130544,5187308.0,151900,2.9
Georgia,04/04/2020,377105,5187308.0,529005,10.2
Georgia,04/11/2020,294035,5187308.0,823040,15.9
Georgia,04/18/2020,243320,5187308.0,1066360,20.6
Georgia,04/25/2020,262615,5187308.0,1328975,25.6
Georgia,05/02/2020,224794,5187308.0,1553769,30.0
Georgia,05/09/2020,240092,5187308.0,1793861,34.6
Georgia,05/16/2020,175327,5187308.0,1969188,38.0
Georgia,05/23/2020,163304,5187308.0,2132492,41.1
Georgia,05/30/2020,147237,5187308.0,2279729,43.9
Appling County,03/07/2020,5,9897.0,5,0.1
Appling County,03/14/2020,6,9897.0,11,0.1
Appling County,03/21/2020,5,9897.0,16,0.2
Appling County,03/28/2020,143,9897.0,159,1.6
Appling County,04/04/2020,322,9897.0,481,4.9
Appling County,04/11/2020,300,9897.0,781,7.9
Appling County,04/18/2020,274,9897.0,1055,10.7
Appling County,04/25/2020,318,9897.0,1373,13.9
Appling County,05/02/2020,279,9897.0,1652,16.7
Appling County,05/09/2020,229,9897.0,1881,19.0
Appling County,05/16/2020,191,9897.0,2072,20.9
Appling County,05/23/2020,149,9897.0,2221,22.4
Appling County,05/30/2020,133,9897.0,2354,23.8
Atkinson County,03/07/2020,25,5148.0,25,0.5
Atkinson County,03/14/2020,20,5148.0,45,0.9
Atkinson County,03/21/2020,16,5148.0,61,1.2
Atkinson County,03/28/2020,285,5148.0,346,6.7
Atkinson County,04/04/2020,964,5148.0,1310,25.4
Atkinson County,04/11/2020,857,5148.0,2167,42.1
Atkinson County,04/18/2020,829,5148.0,2996,58.2
Atkinson County,04/25/2020,755,5148.0,3751,72.9
Atkinson County,05/02/2020,694,5148.0,4445,86.3
Atkinson County,05/09/2020,635,5148.0,5080,98.7
Atkinson County,05/16/2020,466,5148.0,5546,107.7
Atkinson County,05/23/2020,476,5148.0,6022,117.0
Atkinson County,05/30/2020,404,5148.0,6426,124.8
Bacon County,03/07/2020,41,5057.0,41,0.8
Bacon County,03/14/2020,5,5057.0,46,0.9
Bacon County,03/21/2020,7,5057.0,53,1.0
Bacon County,03/28/2020,64,5057.0,117,2.3
Bacon County,04/04/2020,216,5057.0,333,6.6
Bacon County,04/11/2020,144,5057.0,477,9.4
Bacon County,04/18/2020,218,5057.0,695,13.7
Bacon County,04/25/2020,187,5057.0,882,17.4
Bacon County,05/02/2020,176,5057.0,1058,20.9
Bacon County,05/09/2020,166,5057.0,1224,24.2
Bacon County,05/16/2020,170,5057.0,1394,27.6
Bacon County,05/23/2020,152,5057.0,1546,30.6
Bacon County,05/30/2020,122,5057.0,1668,33.0
Baker County,03/07/2020,2,1229.0,2,0.2
Baker County,03/14/2020,6,1229.0,8,0.7
Baker County,03/21/2020,2,1229.0,10,0.8
Baker County,03/28/2020,21,1229.0,31,2.5
Baker County,04/04/2020,73,1229.0,104,8.5
Baker County,04/11/2020,63,1229.0,167,13.6
Baker County,04/18/2020,54,1229.0,221,18.0
Baker County,04/25/2020,53,1229.0,274,22.3
Baker County,05/02/2020,67,1229.0,341,27.7
Baker County,05/09/2020,47,1229.0,388,31.6
Baker County,05/16/2020,44,1229.0,432,35.2
Baker County,05/23/2020,28,1229.0,460,37.4
Baker County,05/30/2020,22,1229.0,482,39.2
Baldwin County,03/07/2020,17,17810.0,17,0.1
Baldwin County,03/14/2020,17,17810.0,34,0.2
Baldwin County,03/21/2020,12,17810.0,46,0.3
Baldwin County,03/28/2020,472,17810.0,518,2.9
Baldwin County,04/04/2020,1094,17810.0,1612,9.1
Baldwin County,04/11/2020,925,17810.0,2537,14.2
Baldwin County,04/18/2020,754,17810.0,3291,18.5
