Area,Date,date,Claims
Georgia,03/07/2020,Mar 07,4401
Georgia,03/14/2020,Mar 14,5248
Georgia,03/21/2020,Mar 21,11707
Georgia,03/28/2020,Mar 28,130544
Georgia,04/04/2020,Apr 04,377105
Georgia,04/11/2020,Apr 11,294035
Georgia,04/18/2020,Apr 18,243320
Georgia,04/25/2020,Apr 25,262615
Georgia,05/02/2020,May 02,224794
Georgia,05/09/2020,May 09,240092
Georgia,05/16/2020,May 16,175327
Georgia,05/23/2020,May 23,163304
Georgia,05/30/2020,May 30,147237
Georgia,06/06/2020,Jun 06,133390
Georgia,06/13/2020,Jun 13,130053
Georgia,06/20/2020,Jun 20,123760
Georgia,06/27/2020,Jun 27,115350
Georgia,07/04/2020,Jul 04,103363
Georgia,07/11/2020,Jul 11,136010
Georgia,07/18/2020,Jul 18,119966
Georgia,07/25/2020,Jul 25,84379
Appling County,03/07/2020,Mar 07,5
Appling County,03/14/2020,Mar 14,6
Appling County,03/21/2020,Mar 21,5
Appling County,03/28/2020,Mar 28,143
Appling County,04/04/2020,Apr 04,322
Appling County,04/11/2020,Apr 11,300
Appling County,04/18/2020,Apr 18,274
Appling County,04/25/2020,Apr 25,318
Appling County,05/02/2020,May 02,279
Appling County,05/09/2020,May 09,229
Appling County,05/16/2020,May 16,191
Appling County,05/23/2020,May 23,149
Appling County,05/30/2020,May 30,133
Appling County,06/06/2020,Jun 06,131
Appling County,06/13/2020,Jun 13,115
Appling County,06/20/2020,Jun 20,138
Appling County,06/27/2020,Jun 27,124
Appling County,07/04/2020,Jul 04,100
Appling County,07/11/2020,Jul 11,134
Appling County,07/18/2020,Jul 18,129
Appling County,07/25/2020,Jul 25,86
Atkinson County,03/07/2020,Mar 07,25
Atkinson County,03/14/2020,Mar 14,20
Atkinson County,03/21/2020,Mar 21,16
Atkinson County,03/28/2020,Mar 28,285
Atkinson County,04/04/2020,Apr 04,964
Atkinson County,04/11/2020,Apr 11,857
Atkinson County,04/18/2020,Apr 18,829
Atkinson County,04/25/2020,Apr 25,755
Atkinson County,05/02/2020,May 02,694
Atkinson County,05/09/2020,May 09,635
Atkinson County,05/16/2020,May 16,466
Atkinson County,05/23/2020,May 23,476
Atkinson County,05/30/2020,May 30,404
Atkinson County,06/06/2020,Jun 06,449
Atkinson County,06/13/2020,Jun 13,423
Atkinson County,06/20/2020,Jun 20,295
Atkinson County,06/27/2020,Jun 27,306
Atkinson County,07/04/2020,Jul 04,297
Atkinson County,07/11/2020,Jul 11,333
Atkinson County,07/18/2020,Jul 18,363
Atkinson County,07/25/2020,Jul 25,271
Bacon County,03/07/2020,Mar 07,41
Bacon County,03/14/2020,Mar 14,5
Bacon County,03/21/2020,Mar 21,7
Bacon County,03/28/2020,Mar 28,64
Bacon County,04/04/2020,Apr 04,216
Bacon County,04/11/2020,Apr 11,144
Bacon County,04/18/2020,Apr 18,218
Bacon County,04/25/2020,Apr 25,187
Bacon County,05/02/2020,May 02,176
Bacon County,05/09/2020,May 09,166
Bacon County,05/16/2020,May 16,170
Bacon County,05/23/2020,May 23,152
Bacon County,05/30/2020,May 30,122
Bacon County,06/06/2020,Jun 06,106
Bacon County,06/13/2020,Jun 13,122
Bacon County,06/20/2020,Jun 20,111
Bacon County,06/27/2020,Jun 27,98
Bacon County,07/04/2020,Jul 04,90
Bacon County,07/11/2020,Jul 11,121
Bacon County,07/18/2020,Jul 18,98
Bacon County,07/25/2020,Jul 25,81
Baker County,03/07/2020,Mar 07,2
Baker County,03/14/2020,Mar 14,6
Baker County,03/21/2020,Mar 21,2
Baker County,03/28/2020,Mar 28,21
Baker County,04/04/2020,Apr 04,73
Baker County,04/11/2020,Apr 11,63
Baker County,04/18/2020,Apr 18,54
Baker County,04/25/2020,Apr 25,53
Baker County,05/02/2020,May 02,67
Baker County,05/09/2020,May 09,47
Baker County,05/16/2020,May 16,44
Baker County,05/23/2020,May 23,28
Baker County,05/30/2020,May 30,22
Baker County,06/06/2020,Jun 06,34
Baker County,06/13/2020,Jun 13,20
Baker County,06/20/2020,Jun 20,19
Baker County,06/27/2020,Jun 27,22
Baker County,07/04/2020,Jul 04,22
Baker County,07/11/2020,Jul 11,33
Baker County,07/18/2020,Jul 18,32
Baker County,07/25/2020,Jul 25,20
Baldwin County,03/07/2020,Mar 07,17
Baldwin County,03/14/2020,Mar 14,17
Baldwin County,03/21/2020,Mar 21,12
Baldwin County,03/28/2020,Mar 28,472
Baldwin County,04/04/2020,Apr 04,1094
Baldwin County,04/11/2020,Apr 11,925
Baldwin County,04/18/2020,Apr 18,754
Baldwin County,04/25/2020,Apr 25,827
Baldwin County,05/02/2020,May 02,911
Baldwin County,05/09/2020,May 09,664
Baldwin County,05/16/2020,May 16,572
Baldwin County,05/23/2020,May 23,547
Baldwin County,05/30/2020,May 30,449
Baldwin County,06/06/2020,Jun 06,374
Baldwin County,06/13/2020,Jun 13,434
Baldwin County,06/20/2020,Jun 20,389
Baldwin County,06/27/2020,Jun 27,311
Baldwin County,07/04/2020,Jul 04,305
Baldwin County,07/11/2020,Jul 11,375
Baldwin County,07/18/2020,Jul 18,327
Baldwin County,07/25/2020,Jul 25,264
Banks County,03/07/2020,Mar 07,8
Banks County,03/14/2020,Mar 14,40
Banks County,03/21/2020,Mar 21,17
Banks County,03/28/2020,Mar 28,146
Banks County,04/04/2020,Apr 04,497
Banks County,04/11/2020,Apr 11,486
Banks County,04/18/2020,Apr 18,590
Banks County,04/25/2020,Apr 25,498
Banks County,05/02/2020,May 02,401
Banks County,05/09/2020,May 09,476
Banks County,05/16/2020,May 16,341
Banks County,05/23/2020,May 23,357
Banks County,05/30/2020,May 30,273
Banks County,06/06/2020,Jun 06,203
Banks County,06/13/2020,Jun 13,231
Banks County,06/20/2020,Jun 20,189
Banks County,06/27/2020,Jun 27,185
Banks County,07/04/2020,Jul 04,189
Banks County,07/11/2020,Jul 11,212
Banks County,07/18/2020,Jul 18,161
Banks County,07/25/2020,Jul 25,180
Barrow County,03/07/2020,Mar 07,27
Barrow County,03/14/2020,Mar 14,41
Barrow County,03/21/2020,Mar 21,62
Barrow County,03/28/2020,Mar 28,940
Barrow County,04/04/2020,Apr 04,2787
Barrow County,04/11/2020,Apr 11,2709
Barrow County,04/18/2020,Apr 18,2245
Barrow County,04/25/2020,Apr 25,2110
Barrow County,05/02/2020,May 02,1572
Barrow County,05/09/2020,May 09,1780
Barrow County,05/16/2020,May 16,1390
Barrow County,05/23/2020,May 23,1349
Barrow County,05/30/2020,May 30,1146
Barrow County,06/06/2020,Jun 06,950
Barrow County,06/13/2020,Jun 13,886
Barrow County,06/20/2020,Jun 20,780
Barrow County,06/27/2020,Jun 27,734
Barrow County,07/04/2020,Jul 04,627
Barrow County,07/11/2020,Jul 11,753
Barrow County,07/18/2020,Jul 18,686
Barrow County,07/25/2020,Jul 25,665
Bartow County,03/07/2020,Mar 07,45
Bartow County,03/14/2020,Mar 14,67
Bartow County,03/21/2020,Mar 21,154
Bartow County,03/28/2020,Mar 28,1443
Bartow County,04/04/2020,Apr 04,4222
Bartow County,04/11/2020,Apr 11,3521
Bartow County,04/18/2020,Apr 18,3995
Bartow County,04/25/2020,Apr 25,3277
Bartow County,05/02/2020,May 02,2562
Bartow County,05/09/2020,May 09,2991
Bartow County,05/16/2020,May 16,1685
Bartow County,05/23/2020,May 23,1515
Bartow County,05/30/2020,May 30,1696
Bartow County,06/06/2020,Jun 06,1330
Bartow County,06/13/2020,Jun 13,1186
Bartow County,06/20/2020,Jun 20,1143
Bartow County,06/27/2020,Jun 27,1110
Bartow County,07/04/2020,Jul 04,954
Bartow County,07/11/2020,Jul 11,1330
Bartow County,07/18/2020,Jul 18,1318
Bartow County,07/25/2020,Jul 25,982
Ben Hill County,03/07/2020,Mar 07,10
Ben Hill County,03/14/2020,Mar 14,8
Ben Hill County,03/21/2020,Mar 21,44
Ben Hill County,03/28/2020,Mar 28,129
Ben Hill County,04/04/2020,Apr 04,435
Ben Hill County,04/11/2020,Apr 11,1008
Ben Hill County,04/18/2020,Apr 18,997
Ben Hill County,04/25/2020,Apr 25,1015
Ben Hill County,05/02/2020,May 02,489
Ben Hill County,05/09/2020,May 09,559
Ben Hill County,05/16/2020,May 16,410
