Date,Company,City,ZIP,County,Employees,Regional Commission,MSA
Mar 09,"Mount Vernon Mills, Inc.",Alto,30510,Banks County,600,Georgia Mountains,
Mar 17,Scandinavian Tobacco Group Lane Limited,Tucker,30084,DeKalb County,113,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Feb 01,"Mahogany Interiors, LLC",Atlanta,30318,Fulton County,2,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 31,Cox Corporate Service,Atlanta,30326,Fulton County,81,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,"Shaw Industries Group, Inc. Plant 23",Dalton,30721,Whitfield County,275,Northwest,"Dalton, GA"
Apr 06,Kindred Specialty Hospital LLC,Rome,30165,Floyd County,78,Northwest,"Rome, GA"
Apr 12,Express Parcel Service LLC,Smyrna,30082,Cobb County,74,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 10,Pacific Architects & Engineers (PAE),Albany,31704,Dougherty County,200,Southwest,"Albany, GA"
Apr 30,"ACTS-Aviation Security, Inc.",Atlanta,30320,Clayton County,90,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
May 04,Concentrix,Savannah,31419,Chatham County,139,Coastal,"Savannah, GA"
Mar 19,Cincuenta llc,Atlanta,30317,DeKalb County,38,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 16,The Beginning Learning Center Inc.,Fort Valley,31030,Peach County,13,Middle Georgia,"Warner Robins, GA"
Mar 23,"Terri Woodward, Inc",Augusta,30907,Columbia County,14,CSRA,"Augusta-Richmond County, GA-SC"
Mar 16,"Global Concessions, Inc.",Atlanta,30337,Fulton County,100,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 16,"Global Concessions, II",Atlanta,30337,Fulton County,100,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 16,"Pot Likker Creations, LLC",Atlanta,30337,Fulton County,100,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 17,Firestone LLC,Newnan,30263,Coweta County,36,Three Rivers,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 19,Nails Creation & Spa,Buford,30518,Hall County,5,Georgia Mountains,"Gainesville, GA"
Mar 23,Piolax Corporation,Canton,30114,Cherokee County,359,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 23,"RB Jackson III, PC",Midway,31320,Liberty County,25,Coastal,"Hinesville, GA"
Mar 19,Kale Me Crazy,Atlanta,30305,Fulton County,15,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 14,Concord Cafe Inc,Concord,30206,Pike County,6,Three Rivers,"Atlanta-Sandy Springs-Alpharetta, GA"
